Attribute,CV terms,Definition
,"PacBio RS II,OBI:0002012","A DNA sequencer which is manufactured by the Pacific Biosciences corporation. Built upon single molecule real-time sequencing technology, the machine is optimized for generation with long reads and high consensus accuracy"
,PacBio Revio,"A DNA sequencer built upon single molecule real-time sequencing technology, and manufactured by the Pacific Biosciences corporation, which features generation of high-throughput, highly accurate (""HiFi"") long reads, variant calling and direct methylation detection. The Revio system can generate 1,300 human HiFi genomes per year which is 15× more than the Sequel IIe system. It will enable the use of HiFi sequencing for large studies in human genetics, cancer research, agricultural genomics, and more."
,"Illumina Genome Analyzer II,OBI:0000703",A DNA sequencer which is manufactured by Illumina (Solexa) corporation. It supports sequencing of single or paired end clone libraries relying on sequencing by synthesis technology
,"Genome Analyzer IIe,OBI:0002027","An Illumina Genome Analyzer II which is manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology. The Genome Analyzer IIe makes industry-leading next-generation sequencing technology accessible to more laboratories"
,"Genome Analyzer IIx,OBI:0002000","An Illumina Genome Analyzer II which is manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology. The Genome Analyzer IIx is the most widely adopted next-generation sequencing platform and proven and published across the broadest range of research applications"
,"MiSeq,OBI:0002003","A DNA sequencer which is manufactured by the Illumina corporation. Built upon sequencing by synthesis technology, the machine provides an end-to-end solution (cluster generation, amplification, sequencing, and data analysis) in a single machine."
,"Illumina NovaSeq 6000,OBI:0002630","A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and an output of up to 6000 Gb (32-40 B reads per run). The sequencer utilizes synthesis technology and patterned flow cells to optimize throughput and even spacing of sequencing clusters"
,"Illumina NovaSeq X,OBI:0003663","A DNA sequencer with three flow cell types manufactured by Illumina. The NovaSeq X provides an output of up to 8 Tb (26-52 billion reads per run). The sequencer utilizes XLEAP-SBS chemistry, an advanced version of Illumina's sequencing by synthesis (SBS) technology, which enables faster and more accurate sequencing."
,"Illumina NovaSeq X Plus,OBI:0003664","A DNA sequencer with three flow cell types manufactured by Illumina. It features a dual-flow cell configuration, allowing to reach an output of up to 16 Tb (52-104 billion reads per run). The sequencer utilizes XLEAP-SBS chemistry, an advanced version of Illumina's sequencing by synthesis (SBS) technology, which enables faster and more accurate sequencing."
,"Illumina HiSeq 1000,OBI:0002022","A DNA sequencer which is manufactured by the Illumina corporation, with a single flow cell and a throughput of up to 35 Gb per day. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology"
